x,Curve1
2.03861,0.754333
3.17997,2.01727
4.19199,3.53369
5.07631,5.05044
5.959,6.82036
6.84008,8.84344
7.84726,11.1194
8.47775,12.3836
8.85767,12.889
9.48978,13.9
10.6328,14.9098
11.779,15.4132
13.0577,15.1568
14.2137,14.1412
15.1125,13.3795
16.1423,12.111
17.1754,10.3363
18.0791,8.81499
18.986,6.78738
19.7636,5.01326
20.5429,2.98597
21.3221,0.958678
22.1013,-1.06861
22.8806,-3.0959
23.5321,-5.12287
24.3129,-7.40332
25.485,-10.9506
26.2642,-12.9779
27.1712,-15.0055
28.0749,-16.5268
29.2308,-17.5424
30.5128,-18.3051
31.79,-18.3083
33.0639,-17.8052
34.2085,-17.0486
35.3515,-16.0389
36.3635,-14.5224
37.6277,-12.5003
38.7626,-10.2247
40.022,-7.44309
41.0259,-4.66083
42.156,-1.62571
43.5398,1.66192
44.9188,5.70907
46.0505,8.49101
46.5533,9.75556
47.3066,11.779
48.06,13.8024
48.9427,15.5723
50.4688,16.5811
51.7444,16.831
52.1259,17.0832
53.4063,16.5737
54.5606,15.8112
55.7181,14.5425
56.7479,13.2741
57.7794,11.7525
58.557,9.97834
59.4639,7.95072
60.3692,6.17628
61.1485,4.14899
61.9277,2.1217
62.7069,0.0944128
63.4862,-1.93288
64.0083,-3.70635
64.7876,-5.73364
65.4407,-8.01377
66.0906,-9.78757
66.8698,-11.8149
67.6491,-13.8421
68.5544,-15.6166
69.3288,-16.8844
70.4847,-17.9
71.7651,-18.4095
72.402,-18.158
73.6792,-18.1612
74.6961,-17.4043
75.839,-16.3945
76.8511,-14.8781
77.8647,-13.6148
78.8751,-11.8453
79.7578,-10.0753
80.6405,-8.30542
81.3939,-6.28201
82.2766,-4.51209
83.0299,-2.48868
83.7849,-0.718443
84.5383,1.30497
85.2916,3.32838
86.045,5.35178
86.7968,7.62836
87.5485,9.90494
88.3019,11.9283
89.1829,13.9514
90.0673,15.4682
91.3396,16.2245
92.4858,16.7279
93.7645,16.4715
95.0449,15.9619
96.2009,14.9463
97.2307,13.6779
98.2621,12.1563
